State,Year,Total,Population,Suicide Rate
A & N Islands,2001,129,356152,36.22049013
A & N Islands,2002,144,358531.2,40.16386858
A & N Islands,2003,113,360910.4,31.30971011
A & N Islands,2004,122,363289.6,33.58202382
A & N Islands,2005,139,365668.8,38.01254031
A & N Islands,2006,133,368048,36.13659088
A & N Islands,2007,156,370427.2,42.1135381
A & N Islands,2008,143,372806.4,38.3577106
A & N Islands,2009,131,375185.6,34.91605222
A & N Islands,2010,156,377564.8,41.31741095
A & N Islands,2011,136,379944,35.7947487
A & N Islands,2012,121,382323.2,31.64861562
Andhra Pradesh,2001,10522,76210007,13.80658579
Andhra Pradesh,2002,11693,77047084,15.17643419
Andhra Pradesh,2003,11409,77884161,14.64867805
Andhra Pradesh,2004,13526,78721238,17.18214848
Andhra Pradesh,2005,13442,79558315,16.89578267
Andhra Pradesh,2006,13276,80395392,16.51338425
Andhra Pradesh,2007,14882,81232469,18.32026058
Andhra Pradesh,2008,14354,82069546,17.49004436
Andhra Pradesh,2009,14500,82906623,17.48955569
Andhra Pradesh,2010,15901,83743700,18.98769698
Andhra Pradesh,2011,15077,84580777,17.82556337
Andhra Pradesh,2012,14238,85417854,16.66864635
Arunachal Pradesh,2001,111,1097968,10.10958425
Arunachal Pradesh,2002,114,1126543.9,10.11944586
Arunachal Pradesh,2003,81,1155119.8,7.012259681
Arunachal Pradesh,2004,79,1183695.7,6.674012586
Arunachal Pradesh,2005,70,1212271.6,5.774283585
Arunachal Pradesh,2006,129,1240847.5,10.39612039
Arunachal Pradesh,2007,129,1269423.4,10.16209407
Arunachal Pradesh,2008,110,1297999.3,8.474580841
Arunachal Pradesh,2009,110,1326575.2,8.292028978
Arunachal Pradesh,2010,131,1355151.1,9.666818704
Arunachal Pradesh,2011,134,1383727,9.683991134
Arunachal Pradesh,2012,130,1412302.9,9.204824263
Assam,2001,2647,26655528,9.930397927
Assam,2002,2510,27110532.8,9.258394213
Assam,2003,2596,27565537.6,9.417556217
Assam,2004,2839,28020542.4,10.13185241
Assam,2005,2846,28475547.2,9.994540158
Assam,2006,3031,28930552,10.47681358
Assam,2007,3062,29385556.8,10.42008501
Assam,2008,2989,29840561.6,10.01656752
Assam,2009,2966,30295566.4,9.790211415
Assam,2010,2993,30750571.2,9.733152534
Assam,2011,2726,31205576,8.735618275
Assam,2012,3264,31660580.8,10.30934973
Bihar,2001,603,82998509,0.726519075
Bihar,2002,720,85108603.3,0.845977929
Bihar,2003,599,87218697.6,0.686779345
Bihar,2004,351,89328791.9,0.392930423
Bihar,2005,543,91438886.2,0.593839254
Bihar,2006,618,93548980.5,0.660616499
Bihar,2007,965,95659074.8,1.008790857
Bihar,2008,1015,97769169.1,1.038159585
Bihar,2009,1051,99879263.4,1.052270476
Bihar,2010,1226,101989357.7,1.202086206
Bihar,2011,795,104099452,0.763692781
Bihar,2012,759,106209546.3,0.714625028
Chandigarh,2001,70,900635,7.772293993
Chandigarh,2002,87,916040.1,9.497400823
Chandigarh,2003,103,931445.2,11.05808479
Chandigarh,2004,75,946850.3,7.920998705
